species,area,year,B_Bmsy,F_Fmsy,species_code,area_code
Acadian redfish,Gulf of Maine/Georges Bank,2020,1.536000013,0.446999997,Acadian_redfish,Gulf_of_Maine/Georges_Bank
Alaska plaice,Bering Sea/Aleutian Islands,2021,1.577999949,0.467000008,Alaska_plaice,Bering_Sea/Aleutian_Islands
Alaska skate,Bering Sea/Aleutian Islands,2021,2.276000023,0.337000012,Alaska_skate,Bering_Sea/Aleutian_Islands
Albacore,North Atlantic,2020,1.320000052,0.634000003,Albacore,North_Atlantic
American plaice,Gulf of Maine/Georges Bank,2019,1.161000013,0.344999999,American_plaice,Gulf_of_Maine/Georges_Bank
Arrowtooth flounder,Bering Sea/Aleutian Islands,2021,2.573999882,0.105999999,Arrowtooth_flounder,Bering_Sea/Aleutian_Islands
Arrowtooth flounder,Gulf of Alaska,2021,2.049999952,0.123999998,Arrowtooth_flounder,Gulf_of_Alaska
Atka mackerel,Bering Sea/Aleutian Islands,2021,1.164000034,0.610000014,Atka_mackerel,Bering_Sea/Aleutian_Islands
Atlantic herring,Northwestern Atlantic Coast,2020,0.289999992,0.467999995,Atlantic_herring,Northwestern_Atlantic_Coast
Atlantic mackerel,Gulf of Maine/Cape Hatteras,2021,0.237000004,2.082000017,Atlantic_mackerel,Gulf_of_Maine/Cape_Hatteras
Atlantic sharpnose shark,Atlantic,2013,2.078000069,0.233999997,Atlantic_sharpnose_shark,Atlantic
Atlantic surfclam,Mid-Atlantic Coast,2020,1.190000057,0.254999995,Atlantic_surfclam,Mid-Atlantic_Coast
Atlantic wolffish,Gulf of Maine/Georges Bank,2020,0.437999994,0.025,Atlantic_wolffish,Gulf_of_Maine/Georges_Bank
Aurora rockfish,Pacific Coast,2013,1.593999982,0.614000022,Aurora_rockfish,Pacific_Coast
Big skate,Pacific Coast,2019,1.980000019,0.148000002,Big_skate,Pacific_Coast
Bigeye tuna,Eastern Pacific,2020,0.920000017,1,Bigeye_tuna,Eastern_Pacific
Bigeye tuna,Atlantic,2021,0.939999998,1,Bigeye_tuna,Atlantic
Bigeye tuna,Western and Central Pacific,2020,1.779999971,0.74000001,Bigeye_tuna,Western_and_Central_Pacific
Black grouper,Southern Atlantic Coast/Gulf of Mexico,2010,1.399999976,0.5,Black_grouper,Southern_Atlantic_Coast/Gulf_of_Mexico
Black rockfish,California,2019,1.437000036,0.453999996,Black_rockfish,California
Black rockfish,Northern Pacific Coast,2007,1.379999995,0.698000014,Black_rockfish,Northern_Pacific_Coast
Black rockfish,Oregon,2021,1.412999988,0.796000004,Black_rockfish,Oregon
Black rockfish,Southern Pacific Coast,2007,1.761999965,0.469999999,Black_rockfish,Southern_Pacific_Coast
Black rockfish,Washington,2019,1.18599999,0.875999987,Black_rockfish,Washington
Black sea bass,Mid-Atlantic Coast,2021,2.061000109,0.84799999,Black_sea_bass,Mid-Atlantic_Coast
Black sea bass,Southern Atlantic Coast,2018,0.713,0.634999991,Black_sea_bass,Southern_Atlantic_Coast
Blackgill rockfish,Southern California,2019,1.036999941,0.423999995,Blackgill_rockfish,Southern_California
Blue king crab,Pribilof Islands,2021,0.044,0,Blue_king_crab,Pribilof_Islands
Blue king crab,Saint Matthew Island,2020,0.335000008,0.023,Blue_king_crab,Saint_Matthew_Island
Blue marlin,Pacific,2021,1.172000051,0.564999998,Blue_marlin,Pacific
Blue shark,North Pacific,2017,1.717000008,0.370999992,Blue_shark,North_Pacific
Bluefish,Atlantic Coast,2021,0.474999994,0.949999988,Bluefish,Atlantic_Coast
Blueline tilefish,Southern Atlantic Coast,2017,1.055999994,0.917999983,Blueline_tilefish,Southern_Atlantic_Coast
Bocaccio,Southern Pacific Coast,2017,1.215000033,0.109999999,Bocaccio,Southern_Pacific_Coast
Brown rockfish,Pacific Coast,2013,1.06400001,0.657999992,Brown_rockfish,Pacific_Coast
Butterfish,Gulf of Maine/Cape Hatteras,2020,0.690999985,0.244000003,Butterfish,Gulf_of_Maine/Cape_Hatteras
Cabezon,California,2009,1.20599997,0.455000013,Cabezon,California
Cabezon,Northern California,2019,1.628999949,0.537999988,Cabezon,Northern_California
Cabezon,Oregon,2019,1.32099998,0.833999991,Cabezon,Oregon
Cabezon,Southern California,2019,1.233999968,0.375,Cabezon,Southern_California
California scorpionfish,Southern California,2017,1.35800004,0.469999999,California_scorpionfish,Southern_California
Canary rockfish,Pacific Coast,2021,1.427000046,0.483999997,Canary_rockfish,Pacific_Coast
Caribbean spiny lobster,Puerto Rico,2020,1.345000029,0.832000017,Caribbean_spiny_lobster,Puerto_Rico
Caribbean spiny lobster,St. Croix,2020,1.960999966,0.181999996,Caribbean_spiny_lobster,St._Croix
Caribbean spiny lobster,St. Thomas/St. John,2020,1.549000025,0.680000007,Caribbean_spiny_lobster,St._Thomas/St._John
Chilipepper,Southern Pacific Coast,2017,1.730000019,0.054000001,Chilipepper,Southern_Pacific_Coast
China rockfish,Central Pacific Coast,2019,1.536000013,0.959999979,China_rockfish,Central_Pacific_Coast
China rockfish,Northern Pacific Coast,2019,1.738000035,0.958000004,China_rockfish,Northern_Pacific_Coast
China rockfish,Southern Pacific Coast,2019,0.788999975,0.931999981,China_rockfish,Southern_Pacific_Coast
Chinook salmon,California Central Valley: Sacramento River Fall,2021,1.095000029,0.871999979,Chinook_salmon,California_Central_Valley:_Sacramento_River_Fall
Chinook salmon,Columbia River Basin: Upper River Bright Fall,2021,1.917000055,0.384000003,Chinook_salmon,Columbia_River_Basin:_Upper_River_Bright_Fall
Chinook salmon,Northern California Coast: Klamath River Fall,2021,0.740999997,0.592000008,Chinook_salmon,Northern_California_Coast:_Klamath_River_Fall
Chinook salmon,Oregon Coast: Central and Northern Oregon,2021,1.549999952,0.833000004,Chinook_salmon,Oregon_Coast:_Central_and_Northern_Oregon
Chinook salmon,Washington Coast: Grays Harbor Fall,2021,1.307999969,0.833000004,Chinook_salmon,Washington_Coast:_Grays_Harbor_Fall
Chinook salmon,Washington Coast: Hoh Fall,2021,1.590999961,0.722000003,Chinook_salmon,Washington_Coast:_Hoh_Fall
Chinook salmon,Washington Coast: Hoko Summer/Fall,2021,2.029000044,0.67900002,Chinook_salmon,Washington_Coast:_Hoko_Summer/Fall
Chinook salmon,Washington Coast: Queets Fall,2021,1.019999981,0.746999979,Chinook_salmon,Washington_Coast:_Queets_Fall
Chinook salmon,Washington Coast: Quillayute Fall,2021,2.101999998,0.746999979,Chinook_salmon,Washington_Coast:_Quillayute_Fall
